query_image,rank,candidate_image,num_matches,average_confidence,combined_score
A05_12_03_W_roh.jpeg,2,IMG-20250910-WA0027.jpg,177,0.7798566818237305,138.0346326828003
A05_12_03_W_roh.jpeg,3,A04_15_05_W_roh.jpeg,170,0.794861912727356,135.1265251636505
A05_12_03_W_roh.jpeg,4,A05_18_06_W_roh.jpeg,150,0.8300144672393799,124.50217008590698
A05_12_03_W_roh.jpeg,5,IMG-20250919-WA0016.jpg,82,0.4322349429130554,35.443265318870544
A05_15_03_W_roh.jpeg,1,IMG-20250726-WA0007.jpg,62,0.5515603423118591,34.196741223335266
A05_15_03_W_roh.jpeg,2,IMG-20250726-WA0009.jpg,65,0.5221845507621765,33.94199579954147
A05_15_03_W_roh.jpeg,3,IMG-20250919-WA0012.jpg,75,0.4494883716106415,33.71162787079811
A05_15_03_W_roh.jpeg,4,IMG-20250626-WA0025.jpg,60,0.5614266991615295,33.68560194969177
A05_15_03_W_roh.jpeg,5,A05_18_07_W_roh.jpeg,69,0.4763383865356445,32.86734867095947
A05_18_04_W_roh.jpeg,1,A08_06_05_SA_roh.jpeg,111,0.6796128749847412,75.43702912330627
A05_18_04_W_roh.jpeg,2,A05_21_01_W_roh.jpeg,54,0.4582338035106659,24.74462538957596
A05_18_04_W_roh.jpeg,3,A06_18_04_W_roh.jpeg,52,0.4738105833530426,24.638150334358212
A05_18_04_W_roh.jpeg,4,IMG-20250910-WA0063.jpg,52,0.4585877954959869,23.84656536579132
A05_18_04_W_roh.jpeg,5,IMG_20250501_132115.jpg,53,0.4491469264030456,23.80478709936142
A05_18_05_W_roh.jpeg,1,A06_17_04_W_roh.jpg,60,0.5032734274864197,30.19640564918518
A05_18_05_W_roh.jpeg,2,IMG-20250626-WA0021.jpg,52,0.5415974259376526,28.16306614875793
A05_18_05_W_roh.jpeg,3,WhatsApp_Bild_2025-09-26_um_10.50.58_1a5f4434.jpg,60,0.4632526040077209,27.795156240463257
A05_18_05_W_roh.jpeg,4,A06_03_01_M_roh.jpeg,50,0.5302295088768005,26.511475443840027
A05_18_05_W_roh.jpeg,5,A06_12_01_W_roh.jpeg,55,0.4796128869056701,26.37870877981186
A05_18_06_W_roh.jpeg,1,IMG-20250910-WA0030.jpg,190,0.7886964678764343,149.85232889652252
A05_18_06_W_roh.jpeg,2,IMG-20250910-WA0027.jpg,186,0.7734516263008118,143.862002491951
A05_18_06_W_roh.jpeg,3,A05_12_03_W_roh.jpeg,150,0.8300144672393799,124.50217008590698
A05_18_06_W_roh.jpeg,4,A04_15_05_W_roh.jpeg,156,0.7419102191925049,115.73799419403076
A05_18_06_W_roh.jpeg,5,A06_17_02_W__roh.jpg,66,0.5252636671066284,34.66740202903748
A05_18_07_W_roh.jpeg,1,IMG-20250919-WA0012.jpg,249,0.8367868065834045,208.35991483926773
A05_18_07_W_roh.jpeg,2,A04_03_01_W_roh.jpeg,163,0.7498279809951782,122.22196090221404
A05_18_07_W_roh.jpeg,3,IMG_20250807_104159.jpg,95,0.4701190888881683,44.66131344437599
A05_18_07_W_roh.jpeg,4,IMG_20250501_132350.jpg,79,0.5250598788261414,41.47973042726517
A05_18_07_W_roh.jpeg,5,IMG-20250717-WA0013.jpg,84,0.4778695106506347,40.14103889465332
A05_18_08_W_roh.jpeg,1,IMG_20250717_104525.jpg,91,0.4720393717288971,42.95558282732964
