image1,image2,num_matches,average_confidence,combined_score
A02_03_02_M_roh.jpeg,A08_15_14_W_roh.jpeg,24,0.42455101013183594,10.189224243164062
A02_03_02_M_roh.jpeg,A08_15_17_M_roh.jpeg,21,0.40859535336494446,8.580502420663834
A02_03_02_M_roh.jpeg,A08_15_19_M_roh.jpeg,40,0.46995845437049866,18.798338174819946
A02_03_02_M_roh.jpeg,A08_15_21_M_roh.jpeg,10,0.43872570991516113,4.387257099151611
A02_03_02_M_roh.jpeg,A08_17_17_W_roh.jpg,23,0.3765847086906433,8.661448299884796
A02_03_02_M_roh.jpeg,A08_18_01_M_roh.jpeg,25,0.4550713002681732,11.37678250670433
A02_03_02_M_roh.jpeg,A08_18_02_W_roh.jpeg,19,0.4410308599472046,8.379586338996887
A02_03_02_M_roh.jpeg,A08_18_03_W_roh.jpeg,36,0.602814257144928,21.701313257217407
A02_03_02_M_roh.jpeg,A08_18_04_W_roh.jpeg,43,0.5113582015037537,21.988402664661407
A02_03_02_M_roh.jpeg,A08_18_05_W_roh.jpeg,28,0.36962541937828064,10.349511742591858
A02_03_02_M_roh.jpeg,A08_18_06_W_roh.jpeg,39,0.5090075731277466,19.851295351982117
A02_03_02_M_roh.jpeg,A08_18_08_M_roh.jpeg,22,0.4773678779602051,10.502093315124512
A02_03_02_M_roh.jpeg,A08_18_09_M_roh.jpeg,27,0.44623395800590515,12.048316866159439
A02_03_02_M_roh.jpeg,A08_18_10_W_roh.jpeg,42,0.5004268288612366,21.017926812171936
A02_03_02_M_roh.jpeg,A08_18_12_W_roh.jpeg,17,0.41951265931129456,7.1317152082920074
A02_03_02_M_roh.jpeg,A08_18_13_W_roh.jpeg,39,0.5474055409431458,21.348816096782684
A02_03_02_M_roh.jpeg,A08_18_14_M_roh.jpeg,37,0.480609655380249,17.782557249069214
A02_03_02_M_roh.jpeg,A08_18_17_W_roh.jpeg,22,0.4696281850337982,10.33182007074356
A02_03_02_M_roh.jpeg,A08_18_18_W_roh.jpeg,18,0.3846317529678345,6.9233715534210205
A02_03_02_M_roh.jpeg,A08_18_19_W_roh.jpeg,15,0.5045618414878845,7.568427622318268
A02_03_02_M_roh.jpeg,A08_18_20_W_roh.jpeg,32,0.4762599766254425,15.24031925201416
A02_03_02_M_roh.jpeg,A08_18_21_M_roh.jpeg,32,0.4322473108768463,13.831913948059082
A02_03_02_M_roh.jpeg,A08_18_22_W_roh.jpeg,30,0.44559016823768616,13.367705047130585
A02_03_02_M_roh.jpeg,A08_18_23_W_roh.jpeg,38,0.5448340177536011,20.70369267463684
A02_03_02_M_roh.jpeg,AT01_03_01_W_roh.jpeg,27,0.36403888463974,9.82904988527298
A02_03_02_M_roh.jpeg,AT01_03_02_W_roh.jpeg,40,0.5202420353889465,20.80968141555786
A02_03_02_M_roh.jpeg,AT01_03_04_M_roh.jpeg,21,0.4654362201690674,9.774160623550415
A02_03_02_M_roh.jpeg,AT01_06_03_W_roh.jpeg,40,0.4405733048915863,17.622932195663452
A02_03_02_M_roh.jpeg,H01_07_01_M_roh.jpeg,35,0.43322476744651794,15.162866860628128
A02_03_02_M_roh.jpeg,H01_14_03_M_roh.jpeg,25,0.5806081295013428,14.51520323753357
A02_03_02_M_roh.jpeg,H01_17_01_M_roh.jpeg,27,0.38312339782714844,10.344331741333008
A02_03_02_M_roh.jpeg,H01_17_02_M_roh.jpeg,33,0.399836003780365,13.194588124752045
A02_03_02_M_roh.jpeg,H01_17_03_W_roh.jpeg,25,0.3505551517009735,8.763878792524338
A02_03_02_M_roh.jpeg,H05_07_06_W_roh.jpeg,37,0.4807197153568268,17.78662946820259
A02_03_02_M_roh.jpeg,H05_08_07_W_roh.jpeg,47,0.47820913791656494,22.475829482078552
A02_03_02_M_roh.jpeg,H05_10_01_W_roh.jpeg,54,0.48616769909858704,26.2530557513237
A02_03_02_M_roh.jpeg,H05_10_02_M_roh.jpeg,54,0.4787594974040985,25.85301285982132
A02_03_02_M_roh.jpeg,H05_10_17_W_roh.jpeg,25,0.4732527732849121,11.831319332122803
A02_03_02_M_roh.jpeg,H05_11_05_M_roh.jpeg,22,0.5198271870613098,11.436198115348816
A02_03_02_M_roh.jpeg,H05_11_06_M_roh.jpeg,45,0.5421234965324402,24.39555734395981
A02_03_02_M_roh.jpeg,H05_11_07_W_roh.jpeg,44,0.46949127316474915,20.657616019248962
A02_03_02_M_roh.jpeg,H05_11_40_M_roh.jpeg,18,0.42892900109291077,7.720722019672394
A02_03_02_M_roh.jpeg,H05_11_41_M_roh.jpeg,44,0.5334600806236267,23.472243547439575
A02_03_02_M_roh.jpeg,H11_20_01_W_roh.jpeg,19,0.5021869540214539,9.541552126407623
A02_03_02_M_roh.jpeg,H11_20_02_W_roh.jpeg,10,0.4201114773750305,4.201114773750305
A02_03_02_M_roh.jpeg,H12_04_02_M_roh.jpg,35,0.46890929341316223,16.411825269460678
A02_03_02_M_roh.jpeg,H12_06_03_M_roh.jpg,12,0.3549172282218933,4.25900673866272
A02_03_02_M_roh.jpeg,H12_07_01_M_roh.jpeg,29,0.4853989779949188,14.076570361852646
