query_image,rank,candidate_image,num_matches,average_confidence,verification,notes
A05_18_05_W_roh.jpeg,1,A06_17_04_W_roh.jpg,60,0.5032734274864197,,
A05_18_05_W_roh.jpeg,2,IMG-20250626-WA0021.jpg,52,0.5415974259376526,,
A05_18_05_W_roh.jpeg,3,WhatsApp_Bild_2025-09-26_um_10.50.58_1a5f4434.jpg,60,0.4632526040077209,,
A05_18_05_W_roh.jpeg,4,A06_03_01_M_roh.jpeg,50,0.5302295088768005,,
A05_18_05_W_roh.jpeg,5,A06_12_01_W_roh.jpeg,55,0.4796128869056701,,
A05_18_06_W_roh.jpeg,1,IMG-20250910-WA0030.jpg,190,0.7886964678764343,,
A05_18_06_W_roh.jpeg,2,IMG-20250910-WA0027.jpg,186,0.7734516263008118,,
A05_18_06_W_roh.jpeg,3,A05_12_03_W_roh.jpeg,150,0.8300144672393799,,
A05_18_06_W_roh.jpeg,4,A04_15_05_W_roh.jpeg,156,0.7419102191925049,,
A05_18_06_W_roh.jpeg,5,A06_17_02_W__roh.jpg,66,0.5252636671066284,,
A05_18_07_W_roh.jpeg,1,IMG-20250919-WA0012.jpg,249,0.8367868065834045,,
A05_18_07_W_roh.jpeg,2,A04_03_01_W_roh.jpeg,163,0.7498279809951782,,
A05_18_07_W_roh.jpeg,3,IMG_20250807_104159.jpg,95,0.4701190888881683,,
A05_18_07_W_roh.jpeg,4,IMG_20250501_132350.jpg,79,0.5250598788261414,,
A05_18_07_W_roh.jpeg,5,IMG-20250717-WA0013.jpg,84,0.4778695106506347,,
A05_18_08_W_roh.jpeg,1,IMG_20250717_104525.jpg,91,0.4720393717288971,,
A05_18_08_W_roh.jpeg,2,IMG-20250910-WA0062.jpg,80,0.4985862672328949,,
A05_18_08_W_roh.jpeg,3,IMG-20250626-WA0016.jpg,77,0.503021240234375,,
A05_18_08_W_roh.jpeg,4,IMG_20250717_104652.jpg,74,0.4783922135829925,,
A05_18_08_W_roh.jpeg,5,IMG-20250626-WA0009.jpg,74,0.474198579788208,,
A05_21_01_W_roh.jpeg,1,IMG_20250501_132115.jpg,81,0.4502987265586853,,
A05_21_01_W_roh.jpeg,2,A06_18_04_W_roh.jpeg,60,0.5267226696014404,,
A05_21_01_W_roh.jpeg,3,IMG-20250620-WA0039.jpg,51,0.5500718355178833,,
