#Serial	Relpath	Match-serial	Match-relpath	Choice-rank	Score
89	IMG_20250515_113414.jpg	-1	NONE	0	NaN
90	IMG_20250515_114220.jpg	-1	NONE	0	NaN
91	IMG_20250515_121011.jpg	64	IMG-20250910-WA0017.jpg	1	0,142047
92	IMG_20250717_104317.jpg	-1	NONE	0	NaN
93	IMG_20250717_104525.jpg	-1	NONE	0	NaN
94	IMG_20250717_104652.jpg	33	IMG-20250626-WA0015.jpg	1	0,369004
95	IMG_20250717_105046.jpg	6	A06_17_04_W_roh.jpg	1	0,139667
96	IMG_20250717_110833.jpg	75	IMG-20250910-WA0064.jpg	1	0,243313
97	IMG_20250717_111215.jpg	73	IMG-20250910-WA0062.jpg	1	0,302118
98	IMG_20250717_111516.jpg	-1	NONE	0	NaN
99	IMG_20250717_111635.jpg	80	IMG-20250919-WA0014.jpg	1	0,205537
100	IMG_20250717_112327.jpg	-1	NONE	0	NaN
101	IMG_20250717_113156.jpg	-1	NONE	0	NaN
102	IMG_20250717_113633.jpg	-1	NONE	0	NaN
103	IMG_20250717_113844.jpg	-1	NONE	0	NaN
104	IMG_20250717_123430.jpg	66	IMG-20250910-WA0022.jpg	1	0,444445
105	IMG_20250717_123656.jpg	-1	NONE	0	NaN
106	IMG_20250807_103916.jpg	-1	NONE	0	NaN
107	IMG_20250807_104159.jpg	38	IMG-20250626-WA0024.jpg	1	0,266670
108	IMG_20250807_104343.jpg	101	IMG_20250717_113156.jpg	1	0,374532
109	IMG_20250807_104825.jpg	-1	NONE	0	NaN
110	IMG_20250807_105223.jpg	-1	NONE	0	NaN
111	IMG_20250807_105820.jpg	8	A07_08_04_M_roh.jpg	1	0,006001
112	IMG_20250807_110659.jpg	31	IMG-20250626-WA0013.jpg	1	0,265959
113	WhatsApp_Bild_2025-07-31_um_14.06.15_96d8cd99.jpg	-1	NONE	0	NaN
114	WhatsApp_Bild_2025-09-19_um_12.14.03_02becc24.jpg	-1	NONE	0	NaN
115	WhatsApp_Bild_2025-09-19_um_12.14.04_40e117ce.jpg	-1	NONE	0	NaN
116	WhatsApp_Bild_2025-09-26_um_10.50.58_1a5f4434.jpg	-1	NONE	0	NaN
