Query,Rank,Candidate,Similarity
A01_06_01_SA_roh_BELLY.jpg,20,IMG-20250626-WA0009_BELLY.jpg,0.558235764503479
A01_08_01_W_roh_BELLY.jpg,1,A04_17_02_W_roh_BELLY.jpg,0.6534136533737183
A01_08_01_W_roh_BELLY.jpg,2,A08_15_17_M_roh_BELLY.jpg,0.6390637159347534
A01_08_01_W_roh_BELLY.jpg,3,A08_15_07_W_roh_BELLY.jpg,0.6319869160652161
A01_08_01_W_roh_BELLY.jpg,4,A01_18_07_W_roh_BELLY.jpg,0.6253446340560913
A01_08_01_W_roh_BELLY.jpg,5,A06_12_04_W_roh_BELLY.jpg,0.62125164270401
A01_08_01_W_roh_BELLY.jpg,6,IMG-20250910-WA0017_BELLY.jpg,0.612808346748352
A01_08_01_W_roh_BELLY.jpg,7,A08_12_15_W_roh_BELLY.jpg,0.6121953725814819
A01_08_01_W_roh_BELLY.jpg,8,A08_18_12_W_roh_BELLY.jpg,0.6118407845497131
A01_08_01_W_roh_BELLY.jpg,9,A08_15_21_M_roh_BELLY.jpg,0.6117461919784546
A01_08_01_W_roh_BELLY.jpg,10,A03_15_04_W_roh_BELLY.jpg,0.6107292771339417
A01_08_01_W_roh_BELLY.jpg,11,A04_12_04_W_roh_BELLY.jpg,0.610173761844635
A01_08_01_W_roh_BELLY.jpg,12,A01_05_03_W_roh_BELLY.jpg,0.6093370914459229
A01_08_01_W_roh_BELLY.jpg,13,A04_17_01_W_roh_BELLY.jpg,0.6072644591331482
A01_08_01_W_roh_BELLY.jpg,14,A08_18_08_M_roh_BELLY.jpg,0.5993692874908447
A01_08_01_W_roh_BELLY.jpg,15,A04_15_06_M_roh_BELLY.jpg,0.5981111526489258
A01_08_01_W_roh_BELLY.jpg,16,IMG_20250501_132350_BELLY.jpg,0.595835268497467
A01_08_01_W_roh_BELLY.jpg,17,A07_17_06_W_roh_BELLY.jpg,0.5953139662742615
A01_08_01_W_roh_BELLY.jpg,18,A08_18_21_M_roh_BELLY.jpg,0.5945928692817688
A01_08_01_W_roh_BELLY.jpg,19,IMG-20250910-WA0022_BELLY.jpg,0.5930051803588867
A01_08_01_W_roh_BELLY.jpg,20,A06_12_01_W_roh_BELLY.jpg,0.5928286910057068
A01_09_21_W_roh_BELLY.jpg,1,A06_12_04_W_roh_BELLY.jpg,0.6147676110267639
A01_09_21_W_roh_BELLY.jpg,2,A02_08_05_M_roh_BELLY.jpg,0.614574670791626
A01_09_21_W_roh_BELLY.jpg,3,A03_15_04_W_roh_BELLY.jpg,0.6019117832183838
A01_09_21_W_roh_BELLY.jpg,4,A06_12_01_W_roh_BELLY.jpg,0.6008346080780029
A01_09_21_W_roh_BELLY.jpg,5,A04_17_01_W_roh_BELLY.jpg,0.5892194509506226
A01_09_21_W_roh_BELLY.jpg,6,IMG-20250626-WA0014_BELLY.jpg,0.589044451713562
A01_09_21_W_roh_BELLY.jpg,7,A08_18_13_W_roh_BELLY.jpg,0.5863333940505981
A01_09_21_W_roh_BELLY.jpg,8,A06_15_02_W_roh_BELLY.jpg,0.583672285079956
A01_09_21_W_roh_BELLY.jpg,9,A01_15_03_W_roh_BELLY.jpg,0.5825281739234924
A01_09_21_W_roh_BELLY.jpg,10,A02_06_04_M_roh_BELLY.jpg,0.5815474987030029
A01_09_21_W_roh_BELLY.jpg,11,IMG-20250607-WA0007_BELLY.jpg,0.5810062885284424
A01_09_21_W_roh_BELLY.jpg,12,A07_17_03_W_roh_BELLY.jpg,0.5756392478942871
A01_09_21_W_roh_BELLY.jpg,13,A08_18_23_W_roh_BELLY.jpg,0.5754798650741577
A01_09_21_W_roh_BELLY.jpg,14,IMG-20250607-WA0003_BELLY.jpg,0.575464129447937
A01_09_21_W_roh_BELLY.jpg,15,IMG-20250607-WA0006_BELLY.jpg,0.5733855962753296
A01_09_21_W_roh_BELLY.jpg,16,A08_18_19_W_roh_BELLY.jpg,0.5733175277709961
A01_09_21_W_roh_BELLY.jpg,17,A08_15_17_M_roh_BELLY.jpg,0.5699528455734253
A01_09_21_W_roh_BELLY.jpg,18,A04_17_02_W_roh_BELLY.jpg,0.5694376230239868
A01_09_21_W_roh_BELLY.jpg,19,A01_18_14_W_roh_BELLY.jpg,0.5688719153404236
A01_09_21_W_roh_BELLY.jpg,20,IMG-20250626-WA0015_BELLY.jpg,0.5687633752822876
A01_12_01_M_roh_BELLY.jpg,1,A01_17_01_W_roh_BELLY.jpg,0.878886342048645
A01_12_01_M_roh_BELLY.jpg,2,A04_06_01_M_roh_BELLY.jpg,0.6473456621170044
A01_12_01_M_roh_BELLY.jpg,3,A03_15_04_W_roh_BELLY.jpg,0.630934476852417
A01_12_01_M_roh_BELLY.jpg,4,IMG-20250910-WA0064_BELLY.jpg,0.6263360381126404
A01_12_01_M_roh_BELLY.jpg,5,A08_15_05_M_roh_BELLY.jpg,0.6212837100028992
A01_12_01_M_roh_BELLY.jpg,6,A04_15_06_M_roh_BELLY.jpg,0.6196209192276001
A01_12_01_M_roh_BELLY.jpg,7,A08_15_07_W_roh_BELLY.jpg,0.6129249930381775
A01_12_01_M_roh_BELLY.jpg,8,A02_06_04_M_roh_BELLY.jpg,0.6114434599876404
A01_12_01_M_roh_BELLY.jpg,9,A08_18_14_M_roh_BELLY.jpg,0.6114126443862915
A01_12_01_M_roh_BELLY.jpg,10,A01_18_12_M_roh_BELLY.jpg,0.6078433394432068
A01_12_01_M_roh_BELLY.jpg,11,A01_18_14_W_roh_BELLY.jpg,0.607512891292572
A01_12_01_M_roh_BELLY.jpg,12,IMG_20250717_113844_BELLY.jpg,0.6071614027023315
A01_12_01_M_roh_BELLY.jpg,13,A06_12_01_W_roh_BELLY.jpg,0.6062149405479431
A01_12_01_M_roh_BELLY.jpg,14,A02_08_05_M_roh_BELLY.jpg,0.6026740074157715
A01_12_01_M_roh_BELLY.jpg,15,A08_18_13_W_roh_BELLY.jpg,0.6006606817245483
A01_12_01_M_roh_BELLY.jpg,16,IMG-20250626-WA0013_BELLY.jpg,0.5993748903274536
A01_12_01_M_roh_BELLY.jpg,17,A04_12_04_W_roh_BELLY.jpg,0.5950276851654053
A01_12_01_M_roh_BELLY.jpg,18,IMG-20250607-WA0007_BELLY.jpg,0.594730019569397
A01_12_01_M_roh_BELLY.jpg,19,A06_12_04_W_roh_BELLY.jpg,0.5927068591117859
A01_12_01_M_roh_BELLY.jpg,20,IMG-20250626-WA0014_BELLY.jpg,0.5919203758239746
