Image_1,Image_2,Similarity
A05_18_06_W_roh_BELLY.jpg,IMG-20250910-WA0027_BELLY.jpg,0.7868618369102478
A05_18_04_W_roh_BELLY.jpg,A08_06_05_SA_roh_BELLY.jpg,0.7721221446990967
IMG-20250626-WA0025_BELLY.jpg,IMG_20250807_104159_BELLY.jpg,0.7717223167419434
A06_17_02_W__roh_BELLY.jpg,IMG-20250607-WA0003_BELLY.jpg,0.7652192711830139
A02_06_03_M_roh_BELLY.jpg,IMG-20250717-WA0017_BELLY.jpg,0.764728844165802
A08_15_04_M_roh_BELLY.jpg,IMG-20250626-WA0025_BELLY.jpg,0.7592300772666931
A06_03_01_M_roh_BELLY.jpg,IMG_20250807_105820_BELLY.jpg,0.7582211494445801
A08_18_14_M_roh_BELLY.jpg,IMG_20250807_103916_BELLY.jpg,0.7553114891052246
A04_17_01_W_roh_BELLY.jpg,A08_18_19_W_roh_BELLY.jpg,0.7464842796325684
A06_17_02_W__roh_BELLY.jpg,IMG-20250607-WA0006_BELLY.jpg,0.7437517642974854
IMG-20250919-WA0009_BELLY.jpg,IMG_20250717_123430_BELLY.jpg,0.7430763244628906
A08_15_04_M_roh_BELLY.jpg,IMG-20250626-WA0024_BELLY.jpg,0.7408122420310974
A08_06_02_SA_roh_BELLY.jpg,A08_18_06_W_roh_BELLY.jpg,0.7399714589118958
A08_18_01_M_roh_BELLY.jpg,IMG_20250717_113633_BELLY.jpg,0.7391597032546997
A03_15_04_W_roh_BELLY.jpg,A07_08_03_W_roh_BELLY.jpg,0.7372517585754395
A04_12_04_W_roh_BELLY.jpg,A04_17_02_W_roh_BELLY.jpg,0.7351691722869873
A08_06_05_SA_roh_BELLY.jpg,IMG-20250910-WA0063_BELLY.jpg,0.7295975089073181
A08_15_05_M_roh_BELLY.jpg,IMG-20250910-WA0062_BELLY.jpg,0.7233700752258301
A08_15_06_W_roh_BELLY.jpg,A08_18_02_W_roh_BELLY.jpg,0.7226018309593201
IMG-20250829-WA0015_BELLY.jpg,IMG-20250910-WA0016_BELLY.jpg,0.7220690846443176
IMG-20250910-WA0017_BELLY.jpg,IMG_20250515_121011_BELLY.jpg,0.7182929515838623
A08_18_23_W_roh_BELLY.jpg,IMG-20250607-WA0007_BELLY.jpg,0.715600848197937
IMG-20250910-WA0062_BELLY.jpg,IMG_20250717_111215_BELLY.jpg,0.7151614427566528
A08_18_22_W_roh_BELLY.jpg,IMG-20250626-WA0024_BELLY.jpg,0.7082903385162354
A08_18_04_W_roh_BELLY.jpg,IMG_20250501_133055_BELLY.jpg,0.7037700414657593
A08_12_15_W_roh_BELLY.jpg,A08_18_10_W_roh_BELLY.jpg,0.702617883682251
A02_03_02_M_roh_BELLY.jpg,A08_18_23_W_roh_BELLY.jpg,0.7024340629577637
A08_09_35_W_roh_BELLY.jpg,A08_18_05_W_roh_BELLY.jpg,0.701081395149231
A08_17_17_W_roh_BELLY.jpg,A08_18_23_W_roh_BELLY.jpg,0.6976913809776306
A05_18_05_W_roh_BELLY.jpg,A08_18_21_M_roh_BELLY.jpg,0.6934326887130737
A05_18_04_W_roh_BELLY.jpg,IMG-20250910-WA0063_BELLY.jpg,0.6925346255302429
A07_09_03_W_roh_BELLY.jpg,A08_15_03_W_roh_BELLY.jpg,0.6915763020515442
A01_18_14_W_roh_BELLY.jpg,A06_12_04_W_roh_BELLY.jpg,0.6889314651489258
A01_18_14_W_roh_BELLY.jpg,IMG-20250626-WA0014_BELLY.jpg,0.6880931258201599
A03_18_07_M_roh_BELLY.jpg,A08_18_23_W_roh_BELLY.jpg,0.6871071457862854
A03_15_04_W_roh_BELLY.jpg,IMG-20250910-WA0022_BELLY.jpg,0.6868956089019775
A08_15_07_W_roh_BELLY.jpg,IMG-20250910-WA0064_BELLY.jpg,0.6861329674720764
A01_18_12_M_roh_BELLY.jpg,IMG-20250829-WA0013_BELLY.jpg,0.6856299638748169
A03_15_04_W_roh_BELLY.jpg,A04_15_06_M_roh_BELLY.jpg,0.6849477291107178
A08_12_15_W_roh_BELLY.jpg,IMG-20250910-WA0061_BELLY.jpg,0.6845591068267822
A04_15_06_M_roh_BELLY.jpg,A08_18_08_M_roh_BELLY.jpg,0.6845317482948303
A08_15_21_M_roh_BELLY.jpg,IMG-20250910-WA0064_BELLY.jpg,0.6838924288749695
A08_15_04_M_roh_BELLY.jpg,A08_15_14_W_roh_BELLY.jpg,0.6835519075393677
A06_12_01_W_roh_BELLY.jpg,IMG-20250919-WA0012_BELLY.jpg,0.6830003261566162
A03_15_04_W_roh_BELLY.jpg,A08_18_03_W_roh_BELLY.jpg,0.6823624968528748
A07_08_04_M_roh_BELLY.jpg,A07_17_03_W_roh_BELLY.jpg,0.6820067763328552
A03_15_04_W_roh_BELLY.jpg,A08_15_17_M_roh_BELLY.jpg,0.6818504929542542
A08_15_17_M_roh_BELLY.jpg,IMG_20250717_113844_BELLY.jpg,0.6807360053062439
A03_15_04_W_roh_BELLY.jpg,IMG-20250910-WA0029_BELLY.jpg,0.6804273128509521
IMG-20250910-WA0023_BELLY.jpg,IMG-20250919-WA0021_BELLY.jpg,0.6796534657478333
A03_18_07_M_roh_BELLY.jpg,A08_18_03_W_roh_BELLY.jpg,0.6763745546340942
A08_18_21_M_roh_BELLY.jpg,IMG-20250910-WA0023_BELLY.jpg,0.6761990785598755
A02_03_02_M_roh_BELLY.jpg,A02_06_07_M_roh_BELLY.jpg,0.6753294467926025
A01_18_07_W_roh_BELLY.jpg,A08_15_07_W_roh_BELLY.jpg,0.6752915382385254
A04_12_04_W_roh_BELLY.jpg,A08_15_14_W_roh_BELLY.jpg,0.6745445132255554
A03_18_07_M_roh_BELLY.jpg,IMG_20250717_112327_BELLY.jpg,0.6743541359901428
