image,belly_file,confidence,status
A06_15_03_W_roh.jpeg,A06_15_03_W_roh_BELLY.jpg,0.6209455728530884,SUCCESS
A06_17_01_M_roh_-_Kopie.jpg,A06_17_01_M_roh_-_Kopie_BELLY.jpg,0.9483614563941956,SUCCESS
A06_17_02_W__roh.jpg,A06_17_02_W__roh_BELLY.jpg,0.6896688938140869,SUCCESS
A06_17_04_W_roh.jpg,A06_17_04_W_roh_BELLY.jpg,0.5852022767066956,SUCCESS
A06_18_04_W_roh.jpeg,A06_18_04_W_roh_BELLY.jpg,0.8149410486221313,SUCCESS
A07_08_03_W_roh.jpg,A07_08_03_W_roh_BELLY.jpg,0.7366382479667664,SUCCESS
A07_08_04_M_roh.jpg,A07_08_04_M_roh_BELLY.jpg,0.6473812460899353,SUCCESS
A07_09_02_W_roh.jpg,A07_09_02_W_roh_BELLY.jpg,0.6163957118988037,SUCCESS
A07_09_03_W_roh.jpg,A07_09_03_W_roh_BELLY.jpg,0.4018998444080353,SUCCESS
A07_15_01_W_roh.jpeg,,0.0,NO_DETECTION
A07_17_03_W_roh.jpg,A07_17_03_W_roh_BELLY.jpg,0.836398720741272,SUCCESS
A07_17_06_W_roh.jpg,A07_17_06_W_roh_BELLY.jpg,0.546258807182312,SUCCESS
A07_18_01_W_roh.jpeg,A07_18_01_W_roh_BELLY.jpg,0.8104058504104614,SUCCESS
A07_18_03_W_roh.jpeg,A07_18_03_W_roh_BELLY.jpg,0.5985658764839172,SUCCESS
A08_06_02_SA_roh.jpeg,A08_06_02_SA_roh_BELLY.jpg,0.8616446852684021,SUCCESS
A08_06_05_SA_roh.jpeg,A08_06_05_SA_roh_BELLY.jpg,0.4370863139629364,SUCCESS
A08_06_08_W_roh.jpeg,A08_06_08_W_roh_BELLY.jpg,0.9061493873596191,SUCCESS
A08_06_10_M_roh.jpeg,A08_06_10_M_roh_BELLY.jpg,0.8819306492805481,SUCCESS
A08_09_35_W_roh.jpg,A08_09_35_W_roh_BELLY.jpg,0.9192929863929749,SUCCESS
A08_09_39_W_roh.jpg,A08_09_39_W_roh_BELLY.jpg,0.8007607460021973,SUCCESS
A08_12_05_W_roh.jpeg,A08_12_05_W_roh_BELLY.jpg,0.6635335683822632,SUCCESS
A08_12_13_W_roh.jpeg,A08_12_13_W_roh_BELLY.jpg,0.8875404596328735,SUCCESS
A08_12_15_W_roh.jpeg,A08_12_15_W_roh_BELLY.jpg,0.9166677594184875,SUCCESS
A08_15_03_W_roh.jpeg,A08_15_03_W_roh_BELLY.jpg,0.5037621855735779,SUCCESS
A08_15_04_M_roh.jpeg,A08_15_04_M_roh_BELLY.jpg,0.6457648277282715,SUCCESS
A08_15_05_M_roh.jpeg,A08_15_05_M_roh_BELLY.jpg,0.8385500311851501,SUCCESS
A08_15_06_W_roh.jpeg,A08_15_06_W_roh_BELLY.jpg,0.6649439334869385,SUCCESS
A08_15_07_W_roh.jpeg,A08_15_07_W_roh_BELLY.jpg,0.3972739577293396,SUCCESS
A08_15_14_W_roh.jpeg,A08_15_14_W_roh_BELLY.jpg,0.4655958116054535,SUCCESS
A08_15_17_M_roh.jpeg,A08_15_17_M_roh_BELLY.jpg,0.7122305035591125,SUCCESS
A08_15_19_M_roh.jpeg,A08_15_19_M_roh_BELLY.jpg,0.7717289328575134,SUCCESS
A08_15_21_M_roh.jpeg,A08_15_21_M_roh_BELLY.jpg,0.8269691467285156,SUCCESS
A08_17_17_W_roh.jpg,A08_17_17_W_roh_BELLY.jpg,0.4966171085834503,SUCCESS
A08_18_01_M_roh.jpeg,A08_18_01_M_roh_BELLY.jpg,0.8002886772155762,SUCCESS
A08_18_02_W_roh.jpeg,A08_18_02_W_roh_BELLY.jpg,0.2418898344039917,SUCCESS
A08_18_03_W_roh.jpeg,A08_18_03_W_roh_BELLY.jpg,0.9330143332481384,SUCCESS
