epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,1957.38,0.80166,1.3521,0.86187,0.98174,0,1,0.99377,0.995,0.7848,0.99599,0.95,0.99262,0.81487,0.71021,1.16399,0.91285,0.90533,0,0.0008516,0.0008516,0.0008516
31,2028.97,0.82012,1.38674,0.87525,1.00622,0,1,0.99999,0.995,0.80824,1,0.99999,0.995,0.8398,0.72695,0.98769,0.86426,0.8993,0,0.000812,0.000812,0.000812
32,2102.19,0.67714,1.3248,0.79481,0.94143,0,0.99756,1,0.995,0.82067,0.99756,1,0.995,0.83746,0.71337,0.95457,0.84428,0.89465,0,0.0007724,0.0007724,0.0007724
33,2174,0.77239,1.26918,0.8133,0.9499,0,0.9936,1,0.995,0.84332,0.9936,1,0.995,0.86266,0.62903,0.93235,0.79847,0.86995,0,0.0007328,0.0007328,0.0007328
34,2246.03,0.70344,1.24147,0.76494,0.95057,0,0.9898,1,0.995,0.83492,0.9898,1,0.995,0.84234,0.60803,0.93076,0.80177,0.85461,0,0.0006932,0.0006932,0.0006932
35,2298.72,0.70006,1.25004,0.73586,0.93352,0,0.99286,1,0.995,0.83195,0.99286,1,0.995,0.83963,0.60329,0.93216,0.7878,0.84518,0,0.0006536,0.0006536,0.0006536
36,2331.56,0.72034,1.15682,0.74769,0.94587,0,0.99473,1,0.995,0.8605,0.99473,1,0.995,0.82975,0.62436,1.01372,0.78876,0.84392,0,0.000614,0.000614,0.000614
37,2366.74,0.75688,1.3074,0.77071,0.94096,0,0.99554,1,0.995,0.82633,0.99554,1,0.995,0.82339,0.65775,1.06475,0.79104,0.8543,0,0.0005744,0.0005744,0.0005744
38,2400.64,0.7099,1.33291,0.7416,0.95274,0,0.99403,1,0.995,0.8284,0.99403,1,0.995,0.83215,0.65644,1.02533,0.75178,0.87721,0,0.0005348,0.0005348,0.0005348
39,2433.75,0.61591,0.96023,0.65552,0.88533,0,0.99405,1,0.995,0.82627,0.99405,1,0.995,0.82423,0.67981,0.99467,0.7395,0.88566,0,0.0004952,0.0004952,0.0004952
40,2467.92,0.68969,1.24636,0.73194,0.95503,0,0.99377,1,0.995,0.81865,0.99377,1,0.995,0.8124,0.69623,0.99485,0.73403,0.88755,0,0.0004556,0.0004556,0.0004556
41,2499.88,0.55152,1.15057,0.80541,0.86087,0,0.99086,1,0.995,0.81114,0.99086,1,0.995,0.82262,0.7258,1.0218,0.75443,0.88674,0,0.000416,0.000416,0.000416
42,2531.89,0.55229,1.15905,0.75402,0.87125,0,0.99221,1,0.995,0.80554,0.99221,1,0.995,0.82444,0.72351,1.02929,0.78248,0.88461,0,0.0003764,0.0003764,0.0003764
43,2565.6,0.54302,1.06769,0.79238,0.86967,0,0.99466,1,0.995,0.82521,0.99466,1,0.995,0.83625,0.69338,1.03527,0.79754,0.88254,0,0.0003368,0.0003368,0.0003368
44,2599.31,0.56208,1.02721,0.7787,0.84405,0,0.9948,1,0.995,0.83578,0.9948,1,0.995,0.84952,0.66797,1.01591,0.79903,0.87998,0,0.0002972,0.0002972,0.0002972
45,2635.33,0.54336,0.91927,0.7617,0.84783,0,0.9819,1,0.995,0.84652,0.9819,1,0.995,0.84372,0.64816,0.99519,0.78586,0.87422,0,0.0002576,0.0002576,0.0002576
46,2670.84,0.50902,0.94633,0.71296,0.85267,0,0.99401,1,0.995,0.8576,0.99401,1,0.995,0.83337,0.62241,0.99229,0.7335,0.85635,0,0.000218,0.000218,0.000218
47,2706.3,0.50465,0.87996,0.72762,0.85048,0,0.99619,1,0.995,0.85468,0.99619,1,0.995,0.8339,0.61663,1.00003,0.71088,0.85296,0,0.0001784,0.0001784,0.0001784
48,2738.56,0.47961,0.89444,0.68109,0.84193,0,0.99638,1,0.995,0.84296,0.99638,1,0.995,0.83166,0.6267,1.0045,0.71031,0.85618,0,0.0001388,0.0001388,0.0001388
49,2770.61,0.47973,0.88255,0.68024,0.8219,0,0.99646,1,0.995,0.83787,0.99646,1,0.995,0.84523,0.63258,1.00208,0.70957,0.85744,0,9.92e-05,9.92e-05,9.92e-05
50,2803.07,0.47571,0.84507,0.65212,0.84113,0,0.99615,1,0.995,0.84133,0.99615,1,0.995,0.84744,0.62548,0.99543,0.70184,0.85768,0,5.96e-05,5.96e-05,5.96e-05
