Query,Rank,Candidate,ALIKED_Score
A01_06_01_SA_roh_BELLY.jpg,13,A04_12_04_W_roh_BELLY.jpg,0.09237927198410034
A01_06_01_SA_roh_BELLY.jpg,14,A01_03_07_W_roh_BELLY.jpg,0.09210318326950073
A01_06_01_SA_roh_BELLY.jpg,15,A01_18_03_W_roh_BELLY.jpg,0.09183096885681152
A01_06_01_SA_roh_BELLY.jpg,16,A08_18_04_W_roh_BELLY.jpg,0.0909671038389206
A01_06_01_SA_roh_BELLY.jpg,17,A02_06_03_M_roh_BELLY.jpg,0.09002741426229477
A01_06_01_SA_roh_BELLY.jpg,18,A08_06_10_M_roh_BELLY.jpg,0.08718277513980865
A01_06_01_SA_roh_BELLY.jpg,19,A01_15_03_W_roh_BELLY.jpg,0.08643854409456253
A01_06_01_SA_roh_BELLY.jpg,20,A01_15_01_W_roh_BELLY.jpg,0.08612169325351715
A01_08_01_W_roh_BELLY.jpg,1,A08_06_08_W_roh_BELLY.jpg,0.10440297424793243
A01_08_01_W_roh_BELLY.jpg,2,A08_06_02_SA_roh_BELLY.jpg,0.0848005935549736
A01_08_01_W_roh_BELLY.jpg,3,A04_12_04_W_roh_BELLY.jpg,0.08273643255233765
A01_08_01_W_roh_BELLY.jpg,4,A05_21_01_W_roh_BELLY.jpg,0.07706105709075928
A01_08_01_W_roh_BELLY.jpg,5,A02_06_06_M_roh_BELLY.jpg,0.07393649965524673
A01_08_01_W_roh_BELLY.jpg,6,A08_06_05_SA_roh_BELLY.jpg,0.07293380051851273
A01_08_01_W_roh_BELLY.jpg,7,A08_12_15_W_roh_BELLY.jpg,0.06737324595451355
A01_08_01_W_roh_BELLY.jpg,8,A01_15_03_W_roh_BELLY.jpg,0.06640364974737167
A01_08_01_W_roh_BELLY.jpg,9,AT01_06_03_W_roh_BELLY.jpg,0.06598993390798569
A01_08_01_W_roh_BELLY.jpg,10,A01_18_14_W_roh_BELLY.jpg,0.05990825220942497
A01_08_01_W_roh_BELLY.jpg,11,A06_15_03_W_roh_BELLY.jpg,0.059797901660203934
A01_08_01_W_roh_BELLY.jpg,12,A08_18_23_W_roh_BELLY.jpg,0.05751074105501175
A01_08_01_W_roh_BELLY.jpg,13,A08_12_05_W_roh_BELLY.jpg,0.05735289677977562
A01_08_01_W_roh_BELLY.jpg,14,A04_06_01_M_roh_BELLY.jpg,0.05662975832819939
A01_08_01_W_roh_BELLY.jpg,15,A08_18_17_W_roh_BELLY.jpg,0.05426529049873352
A01_08_01_W_roh_BELLY.jpg,16,A08_18_19_W_roh_BELLY.jpg,0.053375594317913055
A01_08_01_W_roh_BELLY.jpg,17,A03_12_03_M_roh_BELLY.jpg,0.053098659962415695
A01_08_01_W_roh_BELLY.jpg,18,A08_15_04_M_roh_BELLY.jpg,0.05286721512675285
A01_08_01_W_roh_BELLY.jpg,19,A08_15_05_M_roh_BELLY.jpg,0.051687899976968765
A01_08_01_W_roh_BELLY.jpg,20,A08_18_02_W_roh_BELLY.jpg,0.05168430879712105
A01_09_21_W_roh_BELLY.jpg,1,A08_06_08_W_roh_BELLY.jpg,0.09424032270908356
A01_09_21_W_roh_BELLY.jpg,2,A05_21_01_W_roh_BELLY.jpg,0.07067034393548965
A01_09_21_W_roh_BELLY.jpg,3,A04_12_04_W_roh_BELLY.jpg,0.06849601864814758
A01_09_21_W_roh_BELLY.jpg,4,A08_06_02_SA_roh_BELLY.jpg,0.06812986731529236
A01_09_21_W_roh_BELLY.jpg,5,A08_15_04_M_roh_BELLY.jpg,0.06770166009664536
A01_09_21_W_roh_BELLY.jpg,6,A01_18_14_W_roh_BELLY.jpg,0.06727069616317749
A01_09_21_W_roh_BELLY.jpg,7,A08_06_05_SA_roh_BELLY.jpg,0.06570038944482803
A01_09_21_W_roh_BELLY.jpg,8,A08_18_12_W_roh_BELLY.jpg,0.06260616332292557
A01_09_21_W_roh_BELLY.jpg,9,A05_15_03_W_roh_BELLY.jpg,0.060707539319992065
A01_09_21_W_roh_BELLY.jpg,10,A02_06_06_M_roh_BELLY.jpg,0.06034449487924576
A01_09_21_W_roh_BELLY.jpg,11,A08_06_10_M_roh_BELLY.jpg,0.06015634909272194
A01_09_21_W_roh_BELLY.jpg,12,A08_18_04_W_roh_BELLY.jpg,0.06013290584087372
A01_09_21_W_roh_BELLY.jpg,13,A08_12_15_W_roh_BELLY.jpg,0.059574369341135025
A01_09_21_W_roh_BELLY.jpg,14,A02_06_03_M_roh_BELLY.jpg,0.058731112629175186
A01_09_21_W_roh_BELLY.jpg,15,AT01_06_03_W_roh_BELLY.jpg,0.057906124740839005
A01_09_21_W_roh_BELLY.jpg,16,A08_18_17_W_roh_BELLY.jpg,0.05782824009656906
A01_09_21_W_roh_BELLY.jpg,17,A05_18_04_W_roh_BELLY.jpg,0.057580940425395966
A01_09_21_W_roh_BELLY.jpg,18,A01_15_06_W_roh_BELLY.jpg,0.056887343525886536
A01_09_21_W_roh_BELLY.jpg,19,A08_18_23_W_roh_BELLY.jpg,0.05647360906004906
A01_09_21_W_roh_BELLY.jpg,20,A08_12_13_W_roh_BELLY.jpg,0.05439218133687973
A01_12_01_M_roh_BELLY.jpg,1,A08_06_08_W_roh_BELLY.jpg,0.1217416524887085
A01_12_01_M_roh_BELLY.jpg,2,AT01_06_03_W_roh_BELLY.jpg,0.10134392231702805
A01_12_01_M_roh_BELLY.jpg,3,A05_21_01_W_roh_BELLY.jpg,0.09806028008460999
A01_12_01_M_roh_BELLY.jpg,4,A08_12_05_W_roh_BELLY.jpg,0.0910605639219284
A01_12_01_M_roh_BELLY.jpg,5,A02_06_06_M_roh_BELLY.jpg,0.09078888595104218
A01_12_01_M_roh_BELLY.jpg,6,A08_06_02_SA_roh_BELLY.jpg,0.08976918458938599
A01_12_01_M_roh_BELLY.jpg,7,A02_06_03_M_roh_BELLY.jpg,0.08758857846260071
A01_12_01_M_roh_BELLY.jpg,8,A08_06_10_M_roh_BELLY.jpg,0.08288410305976868
